City,Country,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,HDI,Happinness Score,GDP/capita,Social Support,Healthy Life Expectancy,Freedom to make life choices,Generosity,Perception of Corruption,Country World Heritage Count
Santiago,Chile,74.6,29.96,66.11,92.42,39.13,42.33,1.64,5.34,4.11,1.09,547.6,616.05,0.822,6.444,1.159,1.369,0.92,0.357,0.187,0.056,6
Beijing,China,74.17,22.97,58.9,57.18,25.69,47.61,2.64,8.46,10.36,0.86,1586.25,600.13,0.719,5.191,1.029,1.125,0.893,0.521,0.058,0.1,55
Shanghai,China,75.69,26.74,78.7,61.74,31.66,16.51,2.96,8.46,8.46,0.85,1533.38,592.2,0.719,5.191,1.029,1.125,0.893,0.521,0.058,0.1,55
Bogota,Colombia,70.6,14.52,73.89,14.54,29.33,46.02,1.25,4.27,7.48,0.8,426.95,326.88,0.711,6.125,0.985,1.41,0.841,0.47,0.099,0.034,9
Medellin,Colombia,70.14,19.2,85.88,37.27,39.7,46.02,1.31,3.38,7.48,0.78,261.51,310.54,0.711,6.125,0.985,1.41,0.841,0.47,0.099,0.034,9
Zagreb,Croatia,73.84,26.71,52.78,83.45,47.59,32.29,1.12,3.7,4.48,1.23,504.36,605.23,0.812,5.432,1.155,1.266,0.914,0.296,0.119,0.022,10
Limassol,Cyprus,78.3,40.13,77.6,26.74,74.83,23.75,2.98,6.82,4.26,1.15,618.05,937.73,0.845,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3
Nicosia,Cyprus,78.76,39.03,72.04,6.27,57.58,38.22,3.41,6.82,4.69,1.2,639.36,1065.6,0.845,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3
Prague,Czech Republic,76.64,35.32,64.15,41.53,58.85,34.54,1.32,5.08,3.29,1.18,821.94,723.3,0.861,6.852,1.269,1.487,0.92,0.457,0.046,0.036,14
Copenhagen,Denmark,82.85,49.33,85.14,30.54,75.23,32.39,3.66,9.15,5.72,1.4,1658.01,2001.04,0.9,7.6,1.383,1.573,0.996,0.592,0.252,0.41,10
Santo Domingo,Dominican Republic,74.6,28.82,62.5,18.59,41.88,62.19,0.8,3.27,5,1.01,437.44,556.74,0.7,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1
Quito,Ecuador,67.15,14.24,32.41,14.76,46.43,48.36,1.22,2.94,6.54,0.29,310.54,196.13,0.711,6.028,0.912,1.312,0.868,0.498,0.126,0.087,5
Cairo,Egypt,67.93,11.9,56.48,86.16,17.25,48.81,1.42,3.27,7.33,0.19,425.85,163.44,0.682,4.166,0.913,1.039,0.644,0.241,0.076,0.067,7
Addis Ababa,Ethiopia,59.88,6.38,63.89,85.59,28.41,26.04,0.46,2.29,4.18,0.72,653.77,124.22,0.435,4.286,0.336,1.033,0.532,0.344,0.209,0.1,9
Helsinki,Finland,81.34,54.41,74.35,29.14,75.85,40.96,2.57,10.23,8.52,1.43,1534.47,1960.71,0.879,7.769,1.34,1.587,0.986,0.596,0.153,0.393,7
Lyon,France,84.78,56.05,88.65,37.21,71.13,47.27,2.13,7.67,4.69,1.19,895.11,1704.96,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Marseille,France,81.62,57.05,77.53,25.59,59.87,47.27,1.7,8.44,4.26,1.32,1022.98,1236.1,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Nice,France,82.55,49.52,87.95,59.19,68.34,47.27,2.13,8.1,5.11,1.3,1278.72,1624.66,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Paris,France,95.92,47.08,83.33,59.18,52.62,53.75,2.56,8.95,5.11,1.32,2131.21,2045.96,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Strasbourg,France,84.18,72.23,42.81,39.91,66.5,47.27,2.13,7.25,4.26,1.32,937.73,1790.21,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Toulouse,France,82.1,54.47,81.01,36.23,66.66,47.27,1.92,7.25,4.26,1.28,1022.98,2011.86,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Aachen,Germany,81.64,60.55,73.25,11.69,90.52,15.34,2.05,6.88,4.26,1.33,767.23,1619.72,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Berlin,Germany,89.54,68.72,65.48,16.05,91.17,24.18,1.88,6.82,3.84,1.36,916.42,1772.57,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Cologne,Germany,82.18,59.18,67.88,68.41,82.82,27.08,1.92,7.25,3.62,1.32,980.35,1704.96,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Dresden,Germany,84.75,82.6,78.29,16.89,90.21,15.34,2.13,6.82,3.84,1.33,1193.48,2088.58,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Dusseldorf,Germany,83.45,72.52,75.98,8.61,88.02,15.34,2.13,8.31,4.47,1.28,1193.48,2301.7,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Frankfurt,Germany,82.75,62.6,65.33,14.54,88.04,27.55,2.13,7.67,4.07,1.36,1022.98,1875.46,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Hamburg,Germany,84.66,61.13,82.41,67.78,87.18,25.52,1.83,9.38,3.41,1.36,1534.47,1747.59,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Munich,Germany,86,63.28,88.43,43.08,90.08,15.34,2.3,7.67,5.11,1.36,1278.72,2045.96,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Stuttgart,Germany,82.48,65.82,80.38,16.89,90.4,23.96,2.13,6.82,4.26,1.32,980.35,1943.66,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Aachen,Germany,80.1827268,47.72097457,66.47689459,44.45737579,59.81524408,41.34015214,2.00246729,7.506718974,7.372759835,1.006980222,1187.290054,1452.934341,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
Athens,Greece,76.78,26.05,46.11,27.44,30.57,57.49,2.98,6.82,5.97,1.45,468.87,681.99,0.853,5.287,1.181,1.156,0.999,0.067,0,0.034,18
Thessaloniki,Greece,73.76,24.58,61.94,34.62,43.61,41.64,2.98,6.82,5.11,1.45,468.87,596.74,0.853,5.287,1.181,1.156,0.999,0.067,0,0.034,18
Hong Kong,Hong Kong,86.37,50.07,67.59,14.88,59.5,16.31,2.78,5.89,10.1,1.52,5052.31,2210.39,#N/A,5.43,1.438,1.277,1.122,0.44,0.258,0.287,#N/A
Budapest,Hungary,74.13,24.59,60.42,68.38,46.58,34.18,1,4.27,2.85,1.2,341.97,414.64,0.818,5.758,1.201,1.41,0.828,0.199,0.081,0.02,8
Ahmedabad,India,76.16,33.69,61.67,68.21,57.01,18.18,0.72,2.11,4.22,0.85,193.08,301.69,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Bangalore,India,77.92,38.67,69.38,80.94,52.11,51.03,0.72,3.02,4.83,0.91,362.03,422.37,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Chennai,India,78.12,32.91,67.49,78.07,43.89,33.22,0.66,1.81,4.83,0.87,301.69,301.69,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Delhi,India,77.12,34.39,74.99,73.03,42.45,52.56,0.84,2.41,7.24,0.84,362.03,362.03,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Gurgaon,India,77.88,37.08,77.18,27.78,42.77,65.51,0.97,3.02,6.64,0.83,398.24,470.64,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Hyderabad,India,79.35,39.93,63.89,89.72,54.97,36.9,0.72,1.81,4.83,0.91,241.35,301.69,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Indore,India,76.38,35.79,31.34,59.42,48.53,16.93,0.91,2.23,6.03,0.84,205.15,120.68,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Kochi,India,74.27,28.98,70.23,71.78,45.13,16.93,0.6,1.81,3.62,0.84,181.02,271.52,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Kolkata,India,75.35,28.8,31.29,72.59,25.64,43.33,0.84,2.41,4.83,0.87,241.35,271.52,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Mumbai,India,77.13,28.83,58.41,70.49,26.43,34.63,0.84,3.02,6.03,0.89,603.39,337.9,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Noida,India,82.34,57.88,56.34,89.1,42.7,75,0.97,3.02,6.34,0.78,301.69,603.39,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Pune,India,79.2,37.96,66.62,79.24,43.84,41.37,0.84,2.41,5.43,0.89,301.69,362.03,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Vadodara,India,76.54,36.37,77.87,92.42,54.98,32.03,0.72,2.17,6.03,0.84,120.68,307.73,0.586,4.015,0.755,0.765,0.588,0.498,0.2,0.085,38
Jakarta,Indonesia,69.15,17.38,38.33,57.91,15.66,48.27,1.88,3.37,16.83,0.45,807.7,336.54,0.684,5.192,0.931,1.203,0.66,0.491,0.498,0.028,9
Tehran,Iran,72.13,18.09,43.98,87.62,14.33,54.16,1.96,2.62,26.15,0.37,980.65,392.26,0.749,4.548,1.1,0.842,0.785,0.305,0.27,0.125,24
Cork,Ireland,83.55,47.98,64.32,18.48,76.37,35.83,2.13,7.08,8.52,1.36,1022.98,1633.36,0.899,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2
Dublin,Ireland,90.45,50.13,41.12,30.54,65.27,48.31,2.39,8.31,8.52,1.39,1278.72,1918.09,0.899,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2
Galway,Ireland,83.19,58.59,52.97,52.47,77.85,40.78,2.13,7.67,6.39,1.39,852.48,1875.46,0.899,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2
Haifa,Israel,78.84,44.03,72.69,29.86,52.08,46.59,2.16,6.75,8.1,1.37,719.73,1196.51,0.888,7.139,1.276,1.455,1.029,0.371,0.261,0.082,9
Jerusalem,Israel,78.28,37.22,79.4,64.44,50.87,46.59,2.52,6.84,6.3,1.43,810.35,1080.46,0.888,7.139,1.276,1.455,1.029,0.371,0.261,0.082,9
Florence,Italy,76.63,35.31,67.11,29.44,53.73,39.58,1.02,6.82,4.26,1.53,1278.72,1278.72,0.872,6.223,1.294,1.488,1.039,0.231,0.158,0.03,55
