City,Country,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,HDI,Happinness Score,GDP/capita,Social Support,Healthy Life Expectancy,Freedom to make life choices,Generosity,Perception of Corruption,Country World Heritage Count
Cordoba,Spain,73.76,27.56,75.24,48.76,47.68,51.56,1.95,3.92,4.25,0.93,524.8,523.02,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
Madrid,Spain,85.37,54.07,73.51,55.77,59.87,39.34,1.7,6.82,3.92,1.24,1193.48,1278.72,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
Malaga,Spain,84.3,45.77,69.17,30.55,67.9,9.11,1.28,7.03,2.98,1.21,575.43,968.42,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
Marbella,Spain,81.96,60.14,83.64,32.27,75.24,9.11,1.7,5.88,4.48,1.17,852.48,1619.72,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
Valencia,Spain,81.06,49.11,72.07,35.24,64.89,26.04,1.28,6.82,4.26,1.24,596.74,1193.48,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
Gothenburg,Sweden,74.63,26.95,68.24,92.42,71.51,25.62,3.3,10.76,8.01,1.44,1001.25,2302.88,0.898,7.343,1.387,1.487,1.009,0.574,0.267,0.373,14
Malmo,Sweden,81.37,52.56,87.96,83.45,60.32,33.97,2.9,10.01,8.51,1.4,1101.38,1802.26,0.898,7.343,1.387,1.487,1.009,0.574,0.267,0.373,14
Stockholm,Sweden,82.85,51.03,82.5,13.93,78.58,25.62,3,11.01,7.91,1.46,1501.88,2002.51,0.898,7.343,1.387,1.487,1.009,0.574,0.267,0.373,14
Basel,Switzerland,84.2,78.17,79.74,59.18,88.27,28.12,3.5,11.89,7.35,1.25,1649.29,3847.76,0.917,7.48,1.452,1.526,1.052,0.572,0.263,0.343,12
Geneva,Switzerland,83.27,61.22,74.88,29.43,82.76,54.36,2.8,12.94,10.49,1.28,2607.95,3917.72,0.917,7.48,1.452,1.526,1.052,0.572,0.263,0.343,12
Lausanne,Switzerland,87.21,90.77,65.85,87.62,73.21,35.55,3.15,12.59,8.4,1.32,1714,4266.11,0.917,7.48,1.452,1.526,1.052,0.572,0.263,0.343,12
Taipei,Taiwan,77.42,38.19,88.89,87.62,52.35,15.71,1.75,6.01,8.14,0.77,784.52,942.66,#N/A,6.446,1.368,1.43,0.914,0.351,0.242,0.097,#N/A
Bangkok,Thailand,74.21,20.82,95.96,60.39,37.54,36.1,1.37,4.1,13.68,0.91,1139.76,455.91,0.722,6.008,1.05,1.409,0.828,0.557,0.359,0.028,5
Chiang Mai,Thailand,68.64,15.89,85.91,30.55,37.5,37.78,1.05,3.53,11.4,0.82,426.24,227.95,0.722,6.008,1.05,1.409,0.828,0.557,0.359,0.028,5
Pattaya,Thailand,70.69,19.51,91.46,29.86,46.01,45.52,1.14,3.19,10.03,0.87,784.52,341.93,0.722,6.008,1.05,1.409,0.828,0.557,0.359,0.028,5
Antalya,Turkey,71.91,22.91,59.55,30.55,40.51,44.53,1.81,3.26,5.44,1.62,217.45,362.42,0.759,5.373,1.183,1.36,0.808,0.195,0.083,0.106,18
Istanbul,Turkey,80.22,34.42,80.38,44.98,45.67,42.36,1.99,5.44,9.06,1.66,634.23,724.84,0.759,5.373,1.183,1.36,0.808,0.195,0.083,0.106,18
Izmir,Turkey,76.07,32.12,57.33,30.55,42.9,25.91,1.81,4.71,7.25,1.69,543.63,590.57,0.759,5.373,1.183,1.36,0.808,0.195,0.083,0.106,18
Kharkiv,Ukraine,68.99,17.11,35.06,67.05,30.76,53.75,1,3.21,3.27,0.88,523.02,255.74,0.734,4.332,0.82,1.39,0.739,0.178,0.187,0.01,6
Kiev,Ukraine,69.98,18.88,36.48,67.36,24.05,54.19,1.31,4.17,3.92,0.92,980.65,361.3,0.734,4.332,0.82,1.39,0.739,0.178,0.187,0.01,6
Abu Dhabi,United Arab Emirates,86.4,68.03,48.02,53.42,80.8,10.86,2.67,6.23,13.73,0.3,1779.93,2135.92,0.827,6.825,1.503,1.31,0.825,0.598,0.262,0.182,1
Dubai,United Arab Emirates,98.44,69.64,67.78,30.81,85.16,19.36,2.62,6.23,12.77,0.31,1981.57,2313.91,0.827,6.825,1.503,1.31,0.825,0.598,0.262,0.182,1
Aberdeen,United Kingdom,81.89,49.7,82.86,34.31,76.77,24.22,1.99,6.98,5.98,1.37,1195.74,1743.78,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Belfast,United Kingdom,82.15,52.8,33.33,29.24,80.55,34.06,2.19,5.98,6.22,1.39,807.12,1494.67,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Birmingham,United Kingdom,80.85,46.41,75.23,66.53,75.4,47.51,2.29,6.98,4.98,1.37,996.45,1554.46,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Brighton,United Kingdom,80.61,50.56,58.33,50.25,62.62,33.12,2.49,14.95,4.97,1.37,1295.38,1594.31,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Bristol,United Kingdom,79.66,39.76,88.89,36.22,67.91,42.71,2.49,8.22,6.98,1.36,1619.23,1507.13,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Edinburgh,United Kingdom,83.92,58.77,60.64,13.94,75.03,30.51,2.09,7.97,6.73,1.35,996.45,1992.89,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Glasgow,United Kingdom,84.23,85,90.55,0,80,60,2.52,9,6,1.07,1126.75,1654.76,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Leeds,United Kingdom,82.57,63.88,81.48,18.48,78.06,28.91,1.99,7.6,6.33,1.38,797.16,1992.89,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Leicester,United Kingdom,83.36,71.88,60.64,18.04,76.19,24.22,2.49,7.22,5.27,1.43,787.19,1793.6,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Liverpool,United Kingdom,81.23,53.78,82.86,55.35,83.14,28.7,1.99,7.67,5.98,1.35,896.8,1534.47,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
London,United Kingdom,100,53.17,69.53,57.95,47.89,50.14,2.49,11.26,6.98,1.4,2590.76,1992.89,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Manchester,United Kingdom,81.89,62.31,61.42,0,73,24.2,2.4,8,6,1.15,1200,1388.55,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Nottingham,United Kingdom,80.42,53.57,79.63,24.54,75.88,44.38,2.49,7.97,4.98,1.37,797.16,1793.6,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Oxford,United Kingdom,80.94,50.33,66.2,11.48,72.09,24.22,2.49,7.97,7.97,1.36,1494.67,1693.96,0.892,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32
Asheville,United States,83.17,70.51,79.02,30.55,81.34,30.21,1.8,5.88,7.85,0.64,1225.82,1898.54,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Atlanta,United States,84.92,80.83,61.11,63.09,80.51,56.04,2.21,6.37,6.53,0.61,1046.03,2288.19,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Austin,United States,84.86,69.22,73.61,28.84,86.51,42.5,2.29,5.56,7.85,0.61,1372.91,2105.14,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Baltimore,United States,84.28,78.78,72.08,77.98,82,58.85,2.12,6.54,8.17,0.65,1372.91,2284.92,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Boston,United States,82.2,59.28,78.04,61.77,82.81,40.69,2.62,7.85,7.85,0.65,2288.19,2451.63,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Cambridge,United States,82.15,54.76,81.48,57.18,70.61,24.22,1.99,8.22,7.97,1.39,1345.2,2730.26,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Charlotte,United States,84.46,77.18,72.08,67.05,84.39,30.21,2.15,5.23,7.19,0.6,915.28,2073.1,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Chicago,United States,83.01,66.77,62.92,22.98,80.71,54.52,2.45,7.85,7.85,0.71,1634.42,2111.35,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Dallas,United States,84.71,76.18,69.99,83.89,80.56,59.9,2.62,6.54,6.54,0.59,1405.6,2116.9,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Detroit,United States,70.63,73.81,63.05,83.45,50.99,76.69,1.96,5.56,7.85,0.67,632.19,1895.93,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Honolulu,United States,81.31,58.54,57.03,30.28,79.58,44.14,2.62,6.54,7.85,0.74,1830.55,2204.51,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Houston,United States,85.24,71.96,79.44,65.21,74.08,61.72,2.29,6.54,6.53,0.63,1340.23,2124.75,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Indianapolis,United States,84.52,80.72,36.66,82.08,77.13,30.21,2.6,5.56,5.88,0.65,817.21,2056.76,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Las Vegas,United States,84.88,80.46,66.52,59.73,60.5,70.57,2.12,7.85,7.85,0.65,604.74,2158.09,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Los Angeles,United States,86.86,62.75,68.61,75.2,62.82,65.74,2.62,7.52,7.85,0.69,1732.49,2085.69,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Miami,United States,84.43,57.79,64.44,22.45,74.77,64.85,2.62,6.54,9.81,0.65,1961.31,2052.83,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Minneapolis,United States,83.47,69.91,62.35,77.94,83.79,40.36,2.62,6.54,9.81,0.64,980.65,2295.38,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Nashville,United States,80.61,80.3,60.3,0,80.5,25.5,3.84,12,13.5,0.65,2257.14,3089.75,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
New Orleans,United States,82.56,66.32,65.83,14.76,81.2,42.19,2.04,7.85,9.81,0.65,1242.16,1920.77,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
New York,United States,90.53,55.56,51.39,12.01,61.94,47.33,2.58,8.5,9.81,0.69,3268.84,2530.09,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Newark,United States,84.97,84.39,79.72,62.14,73.21,30.21,2.45,7.19,10.46,0.67,980.65,2402.6,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Orlando,United States,84.39,71.07,76.01,70.75,82.33,55.07,1.96,5.88,7.52,0.66,1176.78,2013.61,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Philadelphia,United States,83.31,68.77,54.17,38.64,65.53,68.58,2.29,7.19,7.85,0.65,1601.73,2185.88,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Phoenix,United States,86.37,80.54,64.9,38.77,82.55,41.41,2.7,6.21,6.37,0.62,817.21,2060.68,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Portland,United States,84.23,72.6,72.77,31.98,88.76,39.22,2.29,6.54,7.85,0.68,1046.03,1982.23,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Rochester,United States,82.07,60.78,68.6,31.6,78.05,30.21,1.96,6.54,11.44,0.68,719.15,1536.36,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
San Antonio,United States,83.76,74.78,60.97,59.19,84.88,51.41,2.62,5.23,7.52,0.59,980.65,1964.58,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
San Diego,United States,83.29,71.37,67.22,32.64,80.18,39.55,2.45,6.54,6.54,0.67,1569.05,2341.8,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
San Francisco,United States,85.38,63.54,75.46,17.06,79.08,32.25,2.29,7.85,9.48,0.69,2484.32,2667.38,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Seattle,United States,85.38,78.46,75.46,32.9,84.1,42.03,2.45,7.11,7.52,0.66,1634.42,2373.83,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Tampa,United States,84.27,75.72,56.94,49.89,80.75,60.73,2.45,6.21,9.81,0.6,915.28,2033.87,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Vancouver,United States,82.59,48.06,83.73,18.48,71.89,30.03,2.55,7.97,12.75,0.89,1848.79,1657.53,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Washington,United States,81.74,56.61,64.44,30.55,76.92,51.43,2.37,7.85,7.85,0.69,2451.63,2484.32,0.914,6.892,1.433,1.457,0.874,0.454,0.28,0.128,24
Montevideo,Uruguay,71.69,21.56,59.72,31.72,44.63,50.16,2.13,6.06,5.23,1.24,653.77,585.12,0.79,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2
Barcelona,Venezuela,83.37,45.68,58.47,71.75,47.18,41.47,1.32,6.82,4.26,1.24,937.73,1193.48,0.763,4.707,0.96,1.427,0.805,0.154,0.064,0.047,3
Caracas,Venezuela,65.18,11.25,44.44,83.45,8.61,85.7,1.8,9.12,11.97,0.07,1634.42,527.89,0.763,4.707,0.96,1.427,0.805,0.154,0.064,0.047,3
Hanoi,Vietnam,66.77,12.22,20.83,24.02,5.29,51.81,1.31,2.66,8.17,0.81,718.36,172.25,0.638,5.175,0.741,1.346,0.851,0.543,0.147,0.073,8

